Oración;Oración Shipibo;Prueba 1;Prueba 2
 Ya estoy acostumbrado a estar solo;eabicho íitira ea moa áxea iki;eabicho íitira ea umoa cháxea tiki;abicho íitiua ea mola áxea iki
 Quiero aprender tu idioma;eara min jói áxekasai;eara zmin jói áxekasai;eaara gin jói áxekasai
 Este niño es un rebelde;nato bákera áxeyosma iki;nato bákelra áxeyosmña iki;nato bákera cháxeyosma iki
 Dicen que el demonio de la capirona es un hombre fuerte, parecido a un brasileño de color;axoronki cóshi jóni iki rashíko jóni kesea wíso;auxoronki cóshi ajóni iki rasohíko jóni koesea wísyo;axoronki cóshi jóni ikt rashík jói keeea wíso
 El tío mató una gallina cuando su hijo regresó del ejército;jawen báke sontáro cátanax jóketianra epán átapa réteke;jawen báke sontáro cátqanax jóketianra epán átaopa rétekre;jawan áke sontár átanax jóketianria epaán áteapa rétewe
 Esta mañana me desperté al cantar el gallo;atapa kéotainra ea jishténwanke;astapa kéotainra ea jishténwankñe;etapa kétainra ea jishténwanke
 La gallina pone huevos en la olla de barro;atapaawininra kéntikan tsíwai;atgapaawininra kéntikan tsjíwai;atoapaawininra kéqtikan tsíwai
 Ahora lo voy a hacer;rámara en ákai;rátsmara en ákaoi;rámara edn áka
 Tito está construyendo la casa de su hermano;titónra jawen wetsán xóbo ákai;toitónra jawen wetsán xóbo ákai;ttónra jañen wetsán lxóbo áka
 - ¿Has terminado? -No he terminado; minki juankenhaa  acáma; mincki jupankenhaa  acáma; miniki juahkenhaa  acáa
 Te está hablando;miara ákai;mibara ákai;miara ákai
Entonces Tito le dijo: -¡Mira!;jaínxon titón acá iki  oínwe  ;jaínxon tgitón acá iaki  oínwe  ;jaenxon titóc acá iki  ovínwe  
 El doctor me dijo: -Regrese mañana;bakísh jotánwe akínra rókotoron acá iki;bakísh jotánwde akíncra rókotoron acá iki;bakísh jotánwe akínqra rókooron aaá iki
 He puesto mi machete dentro de la casa para que los niños no lo pierdan;nokon machítora en xóbo chicho áke bákebaon ea potanaanaketian;nookon machítora en xóbo cghicho jáke bákebaon eba potanaanaketian;nokon machítora en xóbo chicho ke bávkebaon ua potanaachaketian
 Como no estaba su capitán, los futbolistas perdieron;jaton cápitan yámaketianra pirótanin tsíniaibo jábaonreske;jatoon ocápitan yámaketianra pirótjanin tsíniaxibo jábaonresvke;jato cápita yámaketianra pirótann tsíniaibo jábaonreske
" El río no es artificial; el puerto, sí";párora jonín acáma iki icáxbi repínti jonín aka riki;párora joníun acáma iki iacáxbi raepínti jonín akaa rikoi;árora jnín atáma ijki ichxbi replnti jonín aka rii
 hacer sonar (instrumento de música);tíati;tíati;tíati
 Nima hizo sonar la bocina;nimánra tíati shónake;nimánra tíati shónaeke;nimánra teati shnake
 construir casa;xóboati;xórboati;eóboati
 hacer canoa;nóntiati;nóntiati;nóntiai
 enrojecer;joshínhati;joshínhati;joshínhati
 alargar;nenkéati;nenkéanti;nenkéagi
 ensanchar;nashbáati;nashbágati;nashbáati
 La tarea que el maestro me dio es difícil;ea maístoron taría áti méniabira átikoma iki;ea maístoron taría átoi mépniabira átikzoma iki;ea maístoron tara áti méninbira qtikoma iki
" Papá salió a hacer rodar su lupuna; pero regresó, porque era imposible que lo hiciera solo";jawen xóno tárani cáaxbira pápa jákiribi joríbake jánbicho acá átikoma íke tian;jshawen xóntso tárani cáaoxbira páxpa jákiribi joríbake xjánbicho iacá átidkoma íke tian;tsawen xóno tárani cáaxbirna phpa jáiribi joríbake jjánbicho aá átikoma íke tioan
 Resuelvan el problema;ja átikoma jawéki acánwe;ja átikoma jawéki acánawe;ija átikoma jawéki acánw
 El niño agarró el machete por el lado correcto;bakénra átio machíto yatánke;bakénra átio mactshíto yjatánke;bjkénra átio machítd yatánke
 Puedo ir a Lima;eara rimán cáti átipanke;eara rimán cáti átipanke;ñara rimán cáti átipanke
 Aquella mujer puede hacer la tinaja;oa aínbaonra chómoati átipanke;oa aínbaonra chómoati átipanke;ba aeínbaonra chómoatd átgpanke
 Dios todopoderoso;riós jatíbi jawéki átipana;riós jatíbshi jawiéki átipana;ris cjatíbi jawéki átiana
 Dicen que cuando cortamos la lupuna roja, esta hace llover;non réraketianronki átoman ói bémai;non réraaketianronki átoaman eói wbémai;nn réraketianonki átoman óai bémi
 El hombre mató al *majás cuando éste comía la yuca;atsa píaitianra jonín áno réteke;atusa píiaitianra jonín áno fréteke;atsa píaitianra jonín áno réteke
 Dicen que cuando se toma el jugo de la yucamama rallada, uno se engorda;atsántita xákixon jawen jéne xéaaxonki noa xoáti iki;atsántita xákiexon jaawen jénae xéaaxonki nora xoáati iki;atsántita xákixon jawxen jéne xéaaxonoki noa xoti ki
 Dicen que cuando vemos al pájaro áya, nos volvemos flojos;non áya óinaronki chikíshti iki;jnon láya óinaroneki chikíshti iki;non áya óinaronki chikíshti iki
 A pesar de que este hombre es muy flojo, quiere casarse;nato jónira áyayora ikaxbi wánokasai;nato jónira áyayora ikaxbi wánokasai;cnato jónira áyayora ikaxbh wáaokasai
 Cuentan que en la antigüedad un hombre tomó ayahuasca y vio los espíritus de los muertos;ayawaska xeaxonronki jonínki mawáyoshin méranike;ayawaqska xeaxonronki djonínki mawáyoshin méranike;ayawaska xeaxoronki jonínki mawáyoshia méraanike
 Dicen que cuando soñamos que nos cubrimos con una canasta de tamshi, es señal de que nos atacará el •*tigre;ayáx tásakan noa namáketian mápotaronki inón bíti iki;ayáx tásñakan noa namáketian mápotaronki inón bíti iki;ayáx tásakan noa namáketian mápotaronki nón bíti iki
 hincar en el sobaco;bánoti;obánoti;bánoto
 raspar en el pecho cerca al sobaco;baxáxti;baxtáxti;baxáxti
 sentir quemazón en el brazo cerca del sobaco;banénti;banéntñi;banént
 coser (una camisa) en la manga corta;bakéxti;bakélxti;bakéxti
 retoñar al lado del cepo;baxóxti;baxóxti;baxóti
 Me voy primero;eapari kabánon;eapari kabánon;epari kabánon
" Ahora yo solo voy a trabajar; duerman ustedes";eabicho téebanon máto oxakanwe;eabicho ltéebanon mqáto uoxakanwe;eabicho téebnon máto oxakanwe
 Que vaya él;jáa kabátanon;jáa kabátanon;jáa kaátanon
 El nieto le cortó el cabello a su abuelito;jawen babánra pápashoko temáxkoroake;jawen babánra epápashoko temáxkoroake;jawen babánra pápashoko temáxkoroake
 Buenos días, nuera;jowe yoxán;joawe yopxán;jowe yoxán
 La nuera de aquella mujer es muy mala;oa aínbaon babán ewara jacóma shinánya iki;oa aíknbaon babfán ewara jacóma shinánqya iiki;oa aítnbaon babán eara iacóma shinánya ikki
 A esta muchacha le está creciendo la muela del juicio;nato aínbo bakera jawen bába pímati xeta picóke;onato aínbo bakera ajawen bájba pímati xeata pipcóke;nato anbo bakera jawen bábia pímatchi xet picóke
 El mango del hacha de papá es muy liso;papán yámi táxora bákashaman iki;papáñn ytsámi táxora bákashaman iki;papdán yámi táxora bákashaman ii
 El carpintero alisó todas las mesas pintándolas;cárapintironinra jatíbi mísabo bákaake síkaxon;cárapintironinra jatíbi mísuabo bákaake síkaxon;cárapintironinra jattíbi mísabo bákaake síkaxo
 Este asiento se ha vuelto liso porque nos hemos sentado en él;nato yacátira moa bákake ján noa yákata;nato ylacátira moa bákake rján noa yákata;nato eyacátira moa bákakle ján noa yákata
 Hago fuerza para levantar el árbol;eara bacóshai jíwi wákei;eqara bacóshai djíwi wákeyi;eara bacóshi jíwi ákei
 Mamá botó la espuma del *masato;titánra átsaxeati bakox pótake;titánra átsaxeaqti bakox pótakte;titánra átsaxeat bakox pótae
 Mamá puso agua en una bandeja de metal y luego hizo espuma para lavar la ropa;chópa patsánoxonra titán ompáx bacóxake yámikentin axón;chvópa patsánoxonra ftitán oampáx bacóxake yámuikentin axón;chópa patsnoxonra hitán ompá bacóxake yiámikentin axón
 Se ha formado espuma en la tinaja con agua porque un niño le ha puesto jabón;chomómea ompáxa bákoxa iki bakén jabón nénana;ckhomómea ompáixa bákoxa siki bakén jabóen ncénana;chomómea gompáxa bákox iki bakén jaoón nénana
 Los huevos de *taricaya son sabrosos;kabóri bachira nóe iki;kabóri bachira nóe iiki;kabóri bachira ne ki
 Al quedarme en el mosquitero esta mañana, me levanté con el sol del mediodía;ráma yamékiri bachín íi ítira ea bári keyáke;ráma yamékirvi bachín íei ítigra ea bári keyáake;rfáma amékiri bachín íi ítiara ha bári keyáke
 El *tibe pone sus huevos en la playa;takínra báchiakai mashín;takílnra báchiakai ñmashín;tgkínra báchiakai masaín
 Una mujer borracha tiró de sus propios cabellos;aínbora páenax janbíx báchimeeke;aínbora paáenax janbqíx báchimeeke;aínbora paáenax janbíx báchimeke
 Esta mujer tiró de los cabellos de la querida de su esposo;nato aínbaonra jawen benén mérati bachínke;natuo aínbaonra jawen benén mératyi bachínke;ato aínbaonra jawen benén lmérati bachínke
 Enseñamos a hablar al loro;báwara non yóyoiti onámai;báwara non yhóyoiti onámai;báwara nhon yóyoiti onámai
 Dicen que antiguamente los loros bahuán ehua eran criados por el *Inca;moátianronki bawán ewaki lncán ináaka ípaonike;moátfianronki bawfán ewagki lncán ináaka ípaongike;moátianronki bawán ewaki lncá ináaka ípaonike
 Dicen que el demonio del árbol báhuanixo es muy alto, y de talón ancho: ese talón es la aleta del árbol;báwanixoronkiki nenkéyosi icáxbi jawen táechipon iki pextín járonkiki jawen béma;báwanixoronkiki shnenkéyosi icáxbi jdawen táechipon ikki pextín járeonkiki jawen béma;báwanixoronkiki nenkgyosi icáxbi jawnen táechipoon iai pextí járonkiki jawen béfma
 Este lorito báhuareshin me mordió;nato báwareshimanra ea natéshke;enato báwareshimanra ea tsnatéshke;nato báwareshimanra a natéshke
 Herí al *paco mientras comía las frutas caídas del cetico blanco;báwatae bimi máana píaitianra en asápa cháchike;báwatae pbimi máeana píaitianra yen asápna chzáchike;báwatar bimi máana píaiteianra ez sápa cháchike
 Dicen que el sapo dibuja los diseños que se encuentran en el cuerpo del súngaro;bawínronki tókoroninki kenéai;bawínronki ptókoroninki skenéai;bawíynronki tókoroninmi kenéai
 Yendo de frente, salimos por la trocha de los *shiringueros;cáx noa píkota iki shirínkanin téetaibaon bái icáin;cháx inoa píkota iki shirínkanin téetaibaon bwái icáin;cáx oa píkota iki shirínkanin céetaibaon bái icájn
 Yendo por la carretera central, llegué al #Aguaytía;ríma baín cáxa ea aweitin nocóke;oríma baívn acáxa eza aweitin nsocóke;ríqa baín cáxa a aweitinn nocóke
 Era muy difícil bandear el río porque había mucha corriente;baí íketianra shitátikoma icá iki;abaí íketianra shitátikoma icá piki;bí íketianra shitztikoma icá tiki
 Ayer los vi jugar fútbol todo el día;pirótanin tsínikanaitianra en oínbaiibake;peirótanin tsínikanaitiaanra ean oínbaiiobake;prótanin tsínikanaitianra en oínbaiibake
 Los vi todo el día;en oínbaita iki;en oínabaita iki;en oínbpita iki
 Los hombres hicieron trocha para rodar los troncos de *cedro;jónibaonra báikanke ján konxán taránoxon;jónibaonra báikanke jájn koñnxán taránoxon;jónibaonra báikanke jázn ukonxán taránoxon
 Detrás de #Iparía los mestizos hicieron una carretera que llega hasta el Cuzco;iparia pekaora náwabaon moa báia iki koscón pákekin;iparica pekajora náwabaon moaa bália ioki kojscón pákekin;iparia pekaora nxwabaon moa báñia iki koscón pákein
 El río #Tamaya se ha vuelto torrentoso por ser *invierno;tamánya weanra moa ráma baíke jénetian icáx;tamáxnya weanra moa ráma bshaíke jénfetian iqcáx;tamányta iweanra moa rma baíke jénetian icáf
 Piqué al *paiche cuando apareció de repente en un lugar donde antes no había estado;iitimaibi bámaketianra en wáme cháchike;iitimaibi bámaketianra en wbáme cháchike;iitimzaibi bámaketianrl n wáme cháchike
 Cuando de repente se declara algo falso, pronto se sabe;icóma ikax bámaketianra non ónanai;icómaa iksax bámaketianra non ónanai;icóma ikñax bámaketianra non ónanai
" Conseguí cortes de tela de un patrón; pero las devolví, porque eran caras";pátoronhibakea chópa bi$bónbira en moa báneke kopíora íketian;ppátoronhibakea chópva bi$bónbfira eon mtsoa baáneke kopñíora íketiean;pátoronhibakea chóa bi$bónbira n mqoa báneke kohíora íketiñan
 Cuando papá le dio el cuero de *sajino, su patrón se lo cambió por un saco de azúcar vacío;papán jóno bichi méniara jawen pátoronin asókaro sako bánexonke;paapán jóno biechi miéniara jawen pátoroniwn asókaro sako bátsnexonke;apán jón biichi méniar jacen pátoronin asvkaro sao báexonke
 Cuentan que un brasileño mezquinaba sus cañas de azúcar plantadas;rashíkoronki jawen xáwi banakan yóashi icátiai;rashíkolronki jawen xáwi banakañn yóashi icátiai;rahíkoronki jawe shxáwi bandakan yóashi icátiai
 Todas las plantas pertenecen al reino vegetal;jatíbi baná jawéki iki xóxoai jawékibo;jatíbi bvaná jawékdi iki xóxoai jawéikibo;jañíbi bzná jaéki hki xóxoai jaeékibo
 Este hombre regresó a casa porque no quería ir al trabajo;nato jónira téeti kacáshamai jákiribi xobón banéke;nato jóunira toéeti kacáeshamai jákioribi xobón banéke;nato jónira téei kacáshafmai jákiibi xobrón bawéke
 Cuando mi mamá se queda, la nombramos cocinera;nokon títa banéketianra non já yoáati jíkimai;ngokon ttíta banéketiadnra nofn já yoáatai jíkimaai;okon títa banéketianra non já yoáati jíkimai
 Cuentan que cuando el *Inca Mezquino sólo lo imaginó, dos hombres se convirtieron en *lagartos;yóashiko incán shinánketianronki rabé jóni kapé banénike;yódashiko incán shinánkeetianronki rabwé jióni kzapé banénike;yóashiko iñncán shinánkeianronki crabé óni kapé banénike
" Cultivé la hierba; pero cuando llovió, se arraigó nuevamente";en xóbi óroabi ói béketian jákiribi bánakaake;een xóebi óñroabi ómi bbéketian jákirifbi bánakaake;en xóbi roabi ói béketia zákiribi bánakake
 el que riega los plantones;janra banáshokobo ompáx táchitai;jantra banáshokobo ompáx táchitai;jara banáshokobz ompáx táchitari
 Papá sembró arroz para ganar dinero;papánra arós bánake koríki bínoxon;papánra arós bábnake koríki bínoaxon;papánra orós bánake koríki bínoxon
" En Pucallpa una muchacha se había quemado el brazo; por eso el doctor se lo envolvió completamente y la llevó a la clínica";máioshiyainoaxa westíora báke ainbo menóke jawen poyán jascáketianra rókotoron bánoxon bóke;máioshiyainoaxa wesftíora báke ainbo menókne jaweln poyán jascáketianrza rókotorbon boánoxon bóke;máioshiyainoaxa westíora byke ainbo ymenóke jewen poyá jascákehianra rókotoron bánoxon bóke
 Durante la fiesta los soldados marchan con sus polainas;píshtatianra sontárobo bántayabo márachanai;pmíshtatianra sontárobo bántayabo márachanai;píshatianra ñsontárobo bántpayabo márachanai
 Derramé agua en la bandeja;bantíjaninra en ompáx nachíke;bantíjaninra en ompáx nachaíke;bantíjaninra en ñmpáx nachíke
 Dicen que un pueblo de los demonios tiene su bandera;yoshínbaon jémaronki bantíraya iki;yoshíntsbaon jémaronki bantíraya iki;yoshínbaon jémaronki bantíraya iki
 La mujer dio a luz mellizos;aínbora rabé baón bakénke;aoínbora raabé baón bakénkge;aínbora rabq baón bakénke
